time,deviceName,message_type,payload_type,encoding,flags_raw,sequence,voltage_calibration,current_and_power_calibration,utc_time_valid,coverage_at_least_95_percent,ade_measurements_valid,voltage_calibrated,frequency_window_valid,current_calibrated,fundamental_measurement_valid,queued_or_backlogged,interval_end_unix_s,interval_end_iso,interval_end_uptime_s,interval_end_not_transmitted,coverage_permille,coverage_percent,voltage_rms_v,voltage_rms_min_v,voltage_rms_max_v,frequency_hz,frequency_min_hz,frequency_max_hz,current_rms_a,active_power_w,reactive_power_var,apparent_power_va,active_energy_wh,reactive_energy_varh,apparent_energy_vah,power_factor,voltage_thd_percent,voltage_thd_max_percent,current_thd_percent,current_thd_max_percent,temperature_c,event_count,worst_event_code,worst_event,gatewayName,gatewayId,rssi,snr
2026-08-10 00:00:05,PrimerTest,power_quality_summary,16.0,extended,87.0,2341.0,provisional,provisional,True,True,True,False,True,False,True,False,1786338000.0,2026-08-10T05:00:00.000Z,,,999.0,99.9,122.6,122.3,122.9,59.991,59.964,60.04,0.45,30,-6,55,5.0,-0.9,9.2,0.5496,1.36,2.06,146.27,151.64,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-95,9.8
2026-08-10 00:10:05,PrimerTest,power_quality_summary,16.0,extended,87.0,2342.0,provisional,provisional,True,True,True,False,True,False,True,False,1786338600.0,2026-08-10T05:10:00.000Z,,,1000.0,100.0,122.7,122.3,123.0,60.013,59.97,60.04,0.45,30,-6,55,5.0,-0.9,9.1,0.5489,1.35,2.04,146.51,153.66,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-91,9.2
2026-08-10 00:30:05,PrimerTest,power_quality_summary,16.0,extended,23.0,2344.0,provisional,provisional,True,True,True,False,True,False,False,False,1786339800.0,2026-08-10T05:30:00.000Z,,,1000.0,100.0,123.0,122.7,123.3,60.014,59.976,60.048,0.45,30,-6,55,5.0,-1.0,9.2,0.5452,1.57,2.71,147.11,151.51,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-91,10.0
2026-08-10 00:40:05,PrimerTest,power_quality_summary,16.0,extended,23.0,2345.0,provisional,provisional,True,True,True,False,True,False,False,False,1786340400.0,2026-08-10T05:40:00.000Z,,,1000.0,100.0,123.0,122.7,123.3,60.004,59.959,60.037,0.45,30,-6,55,5.0,-1.0,9.1,0.5493,1.37,1.99,146.31,149.81,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-91,7.2
2026-08-10 00:50:05,PrimerTest,power_quality_summary,16.0,extended,23.0,2346.0,provisional,provisional,True,True,True,False,True,False,False,False,1786341000.0,2026-08-10T05:50:00.000Z,,,1000.0,100.0,123.1,122.8,123.5,60.007,59.96,60.049,0.44,30,-6,55,5.0,-1.0,9.1,0.5506,1.33,1.96,145.73,149.84,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-93,9.5
2026-08-10 01:00:05,PrimerTest,power_quality_summary,16.0,extended,87.0,2347.0,provisional,provisional,True,True,True,False,True,False,True,False,1786341600.0,2026-08-10T06:00:00.000Z,,,1000.0,100.0,123.1,122.8,123.4,60.015,59.973,60.043,0.45,30,-6,55,5.0,-0.9,9.2,0.5471,1.38,1.97,147.28,151.3,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,8.2
2026-08-10 01:10:07,PrimerTest,power_quality_summary,16.0,extended,87.0,2348.0,provisional,provisional,True,True,True,False,True,False,True,False,1786342200.0,2026-08-10T06:10:00.000Z,,,1000.0,100.0,123.3,122.9,123.7,60.001,59.957,60.049,0.45,30,-6,55,5.0,-0.9,9.2,0.5442,1.45,2.22,148.52,153.01,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-94,9.8
2026-08-10 01:20:05,PrimerTest,power_quality_summary,16.0,extended,87.0,2349.0,provisional,provisional,True,True,True,False,True,False,True,False,1786342800.0,2026-08-10T06:20:00.000Z,,,1000.0,100.0,123.5,123.2,124.0,60.005,59.97,60.043,0.44,30,-6,55,5.0,-0.9,9.1,0.5498,1.36,1.92,146.16,149.86,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-93,10.0
2026-08-10 01:30:05,PrimerTest,power_quality_summary,16.0,extended,87.0,2350.0,provisional,provisional,True,True,True,False,True,False,True,False,1786343400.0,2026-08-10T06:30:00.000Z,,,1000.0,100.0,123.2,122.9,123.9,60.004,59.965,60.034,0.44,30,-6,55,5.0,-0.9,9.1,0.5522,1.39,3.05,145.32,149.22,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-91,9.5
2026-08-10 01:40:05,PrimerTest,power_quality_summary,16.0,extended,23.0,2351.0,provisional,provisional,True,True,True,False,True,False,False,False,1786344000.0,2026-08-10T06:40:00.000Z,,,1000.0,100.0,123.2,122.9,123.5,60.019,59.967,60.049,0.44,30,-6,55,5.0,-0.9,9.1,0.5516,1.38,2.01,145.6,149.87,29,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-90,9.2
