time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-03-16 00:00:01,NODO 1.10,24.99,67.92,1005.0,4052.0,93.9,-97,12.8
2026-03-16 00:01:00,NODO 1.6,23.49,84.19,1005.0,3915.0,92.6,-100,11.5
2026-03-16 00:02:59,NODO 1.32,25.79,88.0,1004.0,3945.0,91.5,-105,5.8
2026-03-16 00:03:15,NODO 1.17,25.03,71.38,1004.0,3847.0,90.0,-94,13.5
2026-03-16 00:04:10,NODO 1.30,24.77,75.49,1005.0,4082.0,90.9,-114,0.5
2026-03-16 00:04:21,NODO 1.28,25.28,84.43,1005.0,4067.0,91.1,-106,1.5
2026-03-16 00:07:20,NODO 1.4,25.01,72.62,1004.0,4013.0,92.0,-94,11.8
2026-03-16 00:07:28,NODO 1.27,24.73,72.97,1005.0,3822.0,90.8,-94,13.5
2026-03-16 00:08:09,NODO 1.3,24.18,80.98,1005.0,3788.0,90.2,-103,9.3
2026-03-16 00:08:24,NODO 1.19,23.47,60.42,1005.0,3739.0,86.8,-89,13.8
2026-03-16 00:10:28,NODO 1.26,25.19,80.26,1005.0,3949.0,85.6,-107,8.8
2026-03-16 00:11:40,NODO 1.18,24.84,80.68,1004.0,3905.0,84.3,-88,14.0
2026-03-16 00:11:51,NODO 1.7,25.2,75.92,1004.0,4013.0,86.4,-110,5.3
2026-03-16 00:12:07,NODO 1.14,25.65,78.16,1005.0,4038.0,88.9,-92,13.5
2026-03-16 00:12:26,NODO 1.2,25.13,79.82,1004.0,3861.0,90.2,-96,12.8
2026-03-16 00:13:35,NODO 1.21,24.83,72.32,1005.0,3758.0,88.2,-114,
2026-03-16 00:15:01,NODO 1.22,24.81,80.49,1004.0,3900.0,88.2,-111,5.3
2026-03-16 00:15:21,NODO 1.24,22.76,90.45,1004.0,4077.0,88.8,-112,3.3
2026-03-16 00:18:18,NODO 1.29,24.67,78.21,1003.0,3959.0,88.0,-98,13.0
2026-03-16 00:19:15,NODO 1.5,25.1,79.12,1004.0,4013.0,89.6,-95,13.5
2026-03-16 00:19:22,NODO 1.15,23.87,90.21,1005.0,3900.0,91.0,-116,-3.5
2026-03-16 00:23:42,NODO 1.25,23.28,88.97,1004.0,3886.0,90.8,-107,8.0
2026-03-16 00:24:25,NODO 1.13,25.11,73.22,1004.0,4052.0,90.6,-98,12.8
2026-03-16 00:24:27,NODO 1.8,24.85,83.64,1003.0,3773.0,88.7,-106,9.0
2026-03-16 00:25:52,NODO 1.20,25.1,83.57,1005.0,3994.0,88.5,-101,10.3
2026-03-16 00:27:38,NODO 1.12,24.88,80.27,1004.0,4052.0,90.1,-100,12.0
2026-03-16 00:28:30,NODO 1.9,24.45,80.07,1005.0,4047.0,91.7,-104,8.3
2026-03-16 00:28:41,NODO 1.11,24.86,74.29,1003.0,3998.0,91.1,-96,12.3
2026-03-16 00:29:11,NODO 1.16,24.38,100.0,1005.0,3964.0,93.0,-116,-7.0
2026-03-16 00:29:25,NODO 1.23,24.18,79.33,1004.0,3989.0,93.0,-117,-5.0
2026-03-16 00:29:53,NODO 1.10,24.7,70.5,1005.0,4047.0,93.0,-93,11.5
2026-03-16 00:30:54,NODO 1.6,23.22,85.53,1004.0,3915.0,91.6,-104,8.8
2026-03-16 00:32:51,NODO 1.32,25.53,89.53,1004.0,3935.0,91.0,-110,5.8
2026-03-16 00:33:05,NODO 1.17,24.78,72.63,1004.0,3847.0,89.8,-95,13.5
2026-03-16 00:34:03,NODO 1.30,24.46,79.02,1004.0,4087.0,90.8,-115,-0.3
2026-03-16 00:34:11,NODO 1.28,25.04,84.94,1004.0,4067.0,91.0,-106,8.5
2026-03-16 00:37:11,NODO 1.4,24.71,76.26,1004.0,4013.0,92.0,-96,12.5
2026-03-16 00:37:20,NODO 1.27,24.46,76.8,1004.0,3822.0,90.9,-97,12.5
2026-03-16 00:38:00,NODO 1.3,24.06,81.71,1005.0,3798.0,90.4,-103,10.5
2026-03-16 00:38:20,NODO 1.19,23.21,61.17,1004.0,3739.0,86.9,-91,13.3
2026-03-16 00:40:19,NODO 1.26,24.99,81.25,1004.0,3959.0,85.8,-109,6.8
2026-03-16 00:41:12,NODO 1.31,24.4,100.0,1004.0,3925.0,84.9,-117,-7.3
2026-03-16 00:41:32,NODO 1.18,24.58,81.63,1004.0,3900.0,85.7,-88,14.3
2026-03-16 00:41:45,NODO 1.7,24.99,77.15,1004.0,4013.0,87.9,-106,9.0
2026-03-16 00:41:56,NODO 1.14,25.38,80.0,1004.0,4033.0,90.8,-94,13.5
2026-03-16 00:42:22,NODO 1.2,24.95,80.35,1004.0,3861.0,89.8,-92,11.8
2026-03-16 00:43:25,NODO 1.21,24.64,75.02,1004.0,3758.0,88.2,-110,3.3
2026-03-16 00:44:52,NODO 1.22,24.54,82.01,1003.0,3896.0,88.1,-93,11.8
2026-03-16 00:45:16,NODO 1.24,22.6,91.72,1004.0,4067.0,88.7,-111,3.5
2026-03-16 00:48:11,NODO 1.29,24.43,80.6,1003.0,3949.0,87.8,-96,13.3
2026-03-16 00:49:06,NODO 1.5,25.05,77.53,1004.0,4008.0,89.3,-97,11.3
2026-03-16 00:49:17,NODO 1.15,23.68,90.45,1005.0,3896.0,90.7,-116,-2.3
2026-03-16 00:53:30,NODO 1.25,23.04,89.56,1004.0,3886.0,90.6,-111,1.8
2026-03-16 00:54:16,NODO 1.13,24.97,73.72,1004.0,4067.0,90.6,-97,12.5
2026-03-16 00:54:21,NODO 1.8,24.69,84.25,1003.0,3773.0,88.8,-108,7.3
2026-03-16 00:55:42,NODO 1.20,24.87,84.29,1005.0,3994.0,88.7,-103,10.8
2026-03-16 00:57:33,NODO 1.12,24.85,79.55,1004.0,4052.0,90.2,-101,12.3
2026-03-16 00:58:21,NODO 1.9,24.44,79.62,1004.0,4052.0,91.9,-110,5.5
2026-03-16 00:58:34,NODO 1.11,24.69,76.8,1002.0,3998.0,91.2,-93,13.3
2026-03-16 00:59:15,NODO 1.23,24.03,81.29,1003.0,3989.0,93.3,-110,-3.3
2026-03-16 00:59:45,NODO 1.10,24.44,75.48,1004.0,4052.0,93.9,-97,12.8
2026-03-16 01:00:50,NODO 1.6,23.17,85.45,1004.0,3905.0,92.5,-93,13.3
2026-03-16 01:02:41,NODO 1.32,25.44,90.51,1003.0,3945.0,91.4,-107,8.8
2026-03-16 01:02:55,NODO 1.17,24.62,71.93,1003.0,3847.0,89.9,-94,13.0
2026-03-16 01:04:02,NODO 1.28,24.97,84.63,1004.0,4067.0,90.7,-109,5.8
2026-03-16 01:07:02,NODO 1.4,24.64,76.55,1004.0,4013.0,90.3,-103,10.8
2026-03-16 01:07:15,NODO 1.27,24.39,78.33,1004.0,3822.0,89.4,-95,13.5
2026-03-16 01:07:52,NODO 1.3,24.19,80.39,1004.0,3807.0,88.1,-106,8.3
2026-03-16 01:08:17,NODO 1.19,23.17,62.95,1004.0,3744.0,87.0,-87,13.8
2026-03-16 01:10:09,NODO 1.26,24.81,81.91,1004.0,3959.0,86.0,-110,5.3
2026-03-16 01:11:04,NODO 1.31,24.26,100.0,1004.0,3925.0,85.1,-113,2.5
2026-03-16 01:11:25,NODO 1.18,24.51,84.65,1003.0,3900.0,85.8,-89,13.5
2026-03-16 01:11:39,NODO 1.7,24.91,77.17,1004.0,3998.0,87.8,-108,7.8
2026-03-16 01:11:49,NODO 1.14,25.15,80.57,1004.0,4028.0,90.6,-97,13.3
2026-03-16 01:12:13,NODO 1.2,24.94,81.83,1003.0,3861.0,89.6,-95,13.3
2026-03-16 01:13:16,NODO 1.21,24.61,77.35,1004.0,3758.0,88.0,-112,3.8
2026-03-16 01:14:45,NODO 1.22,24.61,81.0,1003.0,3896.0,87.9,-101,10.0
2026-03-16 01:15:11,NODO 1.24,22.67,91.42,1003.0,4077.0,88.7,-108,7.8
2026-03-16 01:18:04,NODO 1.29,24.49,79.99,1002.0,3949.0,87.9,-92,13.5
2026-03-16 01:18:58,NODO 1.5,25.14,78.04,1003.0,4008.0,89.4,-97,13.0
2026-03-16 01:19:12,NODO 1.15,23.66,90.58,1004.0,3896.0,90.8,-117,-4.5
2026-03-16 01:23:19,NODO 1.25,23.12,88.7,1003.0,3886.0,90.7,-113,2.3
2026-03-16 01:24:10,NODO 1.13,25.03,76.18,1003.0,4067.0,90.6,-95,11.5
2026-03-16 01:24:16,NODO 1.8,24.65,85.87,1002.0,3768.0,88.8,-108,7.8
2026-03-16 01:25:34,NODO 1.20,24.91,83.47,1004.0,3994.0,88.6,-101,11.5
2026-03-16 01:27:28,NODO 1.12,24.71,80.33,1004.0,4052.0,90.2,-100,12.3
2026-03-16 01:28:11,NODO 1.9,24.49,79.26,1004.0,4047.0,91.8,-108,7.3
2026-03-16 01:28:28,NODO 1.11,24.73,76.9,1002.0,3994.0,91.0,-93,11.5
2026-03-16 01:29:01,NODO 1.16,24.41,100.0,1004.0,3949.0,92.9,-117,-6.8
2026-03-16 01:29:08,NODO 1.23,23.99,79.95,1003.0,3989.0,92.8,-109,5.0
2026-03-16 01:29:37,NODO 1.10,24.4,72.87,1004.0,4052.0,92.8,-94,13.0
2026-03-16 01:30:47,NODO 1.6,23.35,85.94,1004.0,3915.0,91.5,-99,12.3
2026-03-16 01:32:33,NODO 1.32,25.5,90.62,1003.0,3935.0,90.9,-110,5.5
2026-03-16 01:32:46,NODO 1.17,24.61,72.23,1003.0,3847.0,89.9,-93,11.3
2026-03-16 01:33:50,NODO 1.30,24.43,83.04,1003.0,4087.0,90.9,-117,-4.5
2026-03-16 01:33:52,NODO 1.28,25.01,84.68,1003.0,4067.0,91.0,-108,7.8
2026-03-16 01:36:56,NODO 1.4,24.6,74.41,1003.0,4013.0,92.0,-93,13.3
2026-03-16 01:37:07,NODO 1.27,24.37,78.95,1003.0,3817.0,90.8,-97,13.0
2026-03-16 01:37:43,NODO 1.3,24.1,81.08,1004.0,3798.0,90.3,-100,12.0
2026-03-16 01:38:10,NODO 1.19,23.22,62.43,1003.0,3739.0,86.8,-91,13.8
2026-03-16 01:40:00,NODO 1.26,24.73,82.61,1003.0,3949.0,85.7,-108,7.3
2026-03-16 01:40:55,NODO 1.31,24.25,100.0,1003.0,3925.0,84.7,-117,-4.8
2026-03-16 01:41:16,NODO 1.18,24.43,83.31,1003.0,3905.0,85.7,-90,13.5
2026-03-16 01:41:31,NODO 1.7,24.85,77.95,1003.0,4013.0,87.8,-106,0.8
2026-03-16 01:41:41,NODO 1.14,25.18,79.34,1003.0,4028.0,90.7,-94,11.5
2026-03-16 01:42:06,NODO 1.2,24.9,82.19,1003.0,3861.0,89.8,-93,13.5
2026-03-16 01:43:07,NODO 1.21,24.61,75.71,1003.0,3758.0,88.2,-113,1.5
2026-03-16 01:44:36,NODO 1.22,24.5,81.9,1003.0,3896.0,88.1,-95,13.0
2026-03-16 01:45:03,NODO 1.24,22.61,91.37,1003.0,4067.0,88.6,-110,6.0
2026-03-16 01:47:56,NODO 1.29,24.4,80.75,1002.0,3949.0,87.8,-99,12.0
2026-03-16 01:48:50,NODO 1.5,24.94,79.5,1003.0,4008.0,89.3,-102,11.3
2026-03-16 01:49:08,NODO 1.15,23.54,90.2,1004.0,3896.0,90.7,-116,-2.5
2026-03-16 01:53:09,NODO 1.25,23.01,89.58,1003.0,3886.0,90.6,-110,6.3
2026-03-16 01:54:04,NODO 1.13,24.94,75.13,1003.0,4052.0,90.4,-97,12.8
2026-03-16 01:54:11,NODO 1.8,24.54,86.63,1002.0,3773.0,88.7,-106,6.3
2026-03-16 01:55:24,NODO 1.20,24.72,84.98,1004.0,3994.0,88.5,-101,11.8
2026-03-16 01:57:21,NODO 1.12,24.6,80.94,1003.0,4052.0,90.1,-100,11.0
2026-03-16 01:58:04,NODO 1.9,24.28,80.4,1004.0,4052.0,91.7,-105,5.0
2026-03-16 01:58:19,NODO 1.11,24.6,76.93,1001.0,3998.0,91.2,-93,12.8
