time,deviceName,latitude,longitude,battery_V,hour,minute,second,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr
2026-03-19 12:11:06,Alcance,9.024598121643066,-79.53424835205078,3.391,17.0,25.0,0.0,GatewayELII,,,GatewayFacilidades,-74,14.0,GatewayTTN,,
2026-03-19 12:11:15,Alcance,9.024598121643066,-79.53424835205078,3.401,17.0,25.0,0.0,GatewayELII,,,GatewayFacilidades,-81,12.0,GatewayTTN,,
2026-03-19 12:11:39,Alcance,9.024807929992676,-79.53451538085938,3.401,17.0,25.0,34.0,GatewayELII,,,GatewayFacilidades,-76,14.3,GatewayTTN,,
2026-03-19 12:12:12,Alcance,9.024518966674805,-79.5341567993164,3.391,17.0,26.0,7.0,GatewayELII,,,GatewayFacilidades,-75,13.8,GatewayTTN,,
2026-03-19 12:12:44,Alcance,9.024651527404785,-79.53433990478516,3.401,17.0,26.0,39.0,GatewayELII,,,GatewayFacilidades,-75,11.5,GatewayTTN,,
2026-03-19 12:13:15,Alcance,9.024596214294434,-79.53412628173828,3.391,17.0,27.0,10.0,GatewayELII,,,GatewayFacilidades,-76,14.3,GatewayTTN,,
2026-03-19 12:13:48,Alcance,9.024529457092285,-79.5341796875,3.396,17.0,27.0,43.0,GatewayELII,,,GatewayFacilidades,-75,13.8,GatewayTTN,,
2026-03-19 12:14:20,Alcance,9.024581909179688,-79.53422546386719,3.401,17.0,28.0,15.0,GatewayELII,,,GatewayFacilidades,-75,13.5,GatewayTTN,,
2026-03-19 12:14:52,Alcance,9.024673461914062,-79.5343017578125,3.401,17.0,28.0,47.0,GatewayELII,,,GatewayFacilidades,-75,11.3,GatewayTTN,,
2026-03-19 12:15:24,Alcance,9.02455997467041,-79.53421020507812,3.391,17.0,29.0,19.0,GatewayELII,,,GatewayFacilidades,-75,13.8,GatewayTTN,,
2026-03-19 12:15:55,Alcance,9.024621963500977,-79.5343246459961,3.401,17.0,29.0,50.0,GatewayELII,,,GatewayFacilidades,-74,13.8,GatewayTTN,,
2026-03-19 12:16:27,Alcance,9.024584770202637,-79.53430938720703,3.376,17.0,30.0,22.0,GatewayELII,,,GatewayFacilidades,-75,13.3,GatewayTTN,,
2026-03-19 12:17:00,Alcance,9.024563789367676,-79.53424835205078,3.391,17.0,30.0,54.0,GatewayELII,,,GatewayFacilidades,-74,13.8,GatewayTTN,,
2026-03-19 12:17:31,Alcance,9.024643898010254,-79.53434753417969,3.391,17.0,31.0,26.0,GatewayELII,,,GatewayFacilidades,-74,13.8,GatewayTTN,,
2026-03-19 12:18:04,Alcance,9.024537086486816,-79.53417205810547,3.401,17.0,31.0,58.0,GatewayELII,,,GatewayFacilidades,-75,13.8,GatewayTTN,,
2026-03-19 12:18:37,Alcance,9.024598121643066,-79.53427124023438,3.376,17.0,32.0,32.0,GatewayELII,,,GatewayFacilidades,-74,14.0,GatewayTTN,,
2026-03-19 12:19:09,Alcance,9.024605751037598,-79.53425598144531,3.376,17.0,33.0,4.0,GatewayELII,,,GatewayFacilidades,-74,14.0,GatewayTTN,,
2026-03-19 12:19:42,Alcance,9.024555206298828,-79.53417205810547,3.376,17.0,33.0,36.0,GatewayELII,,,GatewayFacilidades,-75,13.8,GatewayTTN,,
2026-03-19 12:20:15,Alcance,9.024602890014648,-79.53424835205078,3.376,17.0,34.0,9.0,GatewayELII,,,GatewayFacilidades,-76,14.3,GatewayTTN,,
2026-03-19 12:20:48,Alcance,9.024690628051758,-79.53431701660156,3.376,17.0,34.0,43.0,GatewayELII,,,GatewayFacilidades,-75,13.8,GatewayTTN,,
2026-03-19 12:21:21,Alcance,9.024541854858398,-79.53422546386719,3.376,17.0,35.0,15.0,GatewayELII,,,GatewayFacilidades,-76,13.5,GatewayTTN,,
2026-03-19 12:21:55,Alcance,9.024620056152344,-79.53416442871094,3.386,17.0,35.0,49.0,GatewayELII,,,GatewayFacilidades,-76,10.5,GatewayTTN,,
2026-03-19 12:22:28,Alcance,9.0246000289917,-79.5343017578125,3.376,17.0,36.0,23.0,GatewayELII,,,GatewayFacilidades,-75,13.3,GatewayTTN,,
2026-03-19 12:23:01,Alcance,9.024489402770996,-79.53409576416016,3.376,17.0,36.0,56.0,GatewayELII,,,GatewayFacilidades,-74,11.5,GatewayTTN,,
2026-03-19 12:23:35,Alcance,9.024676322937012,-79.53437042236328,3.376,17.0,37.0,29.0,GatewayELII,,,GatewayFacilidades,-76,14.3,GatewayTTN,,
2026-03-19 12:24:08,Alcance,9.024551391601562,-79.53422546386719,3.376,17.0,38.0,2.0,GatewayELII,,,GatewayFacilidades,-76,14.0,GatewayTTN,,
