time,deviceName,latitude,longitude,altitude_m,hdop,sats,battery_V,hour,minute,second,gw_count,min_distance_m,max_distance_m,max_rssi,max_snr,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr,gw5_name,gw5_rssi,gw5_snr,gw6_name,gw6_rssi,gw6_snr
2026-07-24 00:00:12,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.753,5.0,0.0,11.0,1,1253.2,1253.2,-113.0,-7.5,GatewayELII,-113,-7.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:01:12,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.758,5.0,1.0,11.0,2,1148.8,1253.2,-118.0,-4.8,GatewayELII,-118,-4.8,GatewayFacilidades,,,GatewayEdificio3,-118,-6.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:01:42,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.758,5.0,1.0,41.0,1,1253.2,1253.2,-114.0,-8.0,GatewayELII,-114,-8.0,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:02:12,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.753,5.0,2.0,11.0,3,1072.5,1254.3,-116.0,-4.5,GatewayELII,-116,-4.5,GatewayFacilidades,,,GatewayEdificio3,-117,-6.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-119,-8.2,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:03:13,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.753,5.0,3.0,11.0,1,1254.3,1254.3,-115.0,-7.5,GatewayELII,-115,-7.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:03:43,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.753,5.0,3.0,41.0,1,1253.4,1253.4,-114.0,-5.8,GatewayELII,-114,-5.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:04:13,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.753,5.0,4.0,12.0,1,1253.4,1253.4,-115.0,-4.0,GatewayELII,-115,-4.0,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:05:13,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.753,5.0,5.0,12.0,1,1148.8,1148.8,-117.0,-7.5,GatewayELII,,,GatewayFacilidades,,,GatewayEdificio3,-117,-7.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:05:43,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.753,5.0,5.0,42.0,3,1073.1,1253.4,-114.0,-5.0,GatewayELII,-114,-6.0,GatewayFacilidades,,,GatewayEdificio3,-117,-5.0,GatewayOficina,,,GatewayFacilidadesDobleBanda07,-120,-8.0,GatewayFacilidadesDobleBanda815,,
2026-07-24 00:06:13,Alcance,9.027029037475586,-79.52310943603516,47.0,0.3,0.0,3.753,5.0,6.0,12.0,2,1148.8,1254.5,-119.0,-4.2,GatewayELII,-119,-4.2,GatewayFacilidades,,,GatewayEdificio3,-119,-5.5,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,
