time,deviceName,latitude,longitude,altitude_m,hdop,sats,battery_V,hour,minute,second,gw_count,min_distance_m,max_distance_m,max_rssi,max_snr,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr
2026-04-24 16:36:31,Alcance,9.024215698242188,-79.53440856933594,80.0,0.5,5.0,3.881,21.0,36.0,30.0,4,44.3,349.6,-61.0,13.5,GatewayELII,-61,9.5,GatewayFacilidades,-93,13.5,GatewayEdificio3,-87,10.2,GatewayOficina,-73,9.2
2026-04-24 16:36:32,Alcance,9.024224281311035,-79.53440856933594,79.0,0.5,5.0,3.861,21.0,36.0,31.0,4,43.6,350.3,-63.0,13.0,GatewayELII,-63,10.8,GatewayFacilidades,-92,13.0,GatewayEdificio3,-94,10.2,GatewayOficina,-77,11.0
2026-04-24 16:37:02,Alcance,9.024286270141602,-79.5344009399414,76.0,0.5,5.0,3.871,21.0,37.0,1.0,4,37.1,354.7,-57.0,11.3,GatewayELII,-71,10.2,GatewayFacilidades,-95,11.3,GatewayEdificio3,-101,8.8,GatewayOficina,-57,10.0
2026-04-24 16:37:32,Alcance,9.024291038513184,-79.53437042236328,72.0,0.1,10.0,3.861,21.0,37.0,31.0,4,35.1,352.7,-61.0,13.8,GatewayELII,-61,9.5,GatewayFacilidades,-91,13.8,GatewayEdificio3,-112,4.2,GatewayOficina,-71,9.2
2026-04-24 16:38:03,Alcance,9.024280548095703,-79.53433227539062,66.0,0.1,11.0,3.861,21.0,38.0,1.0,4,33.3,349.0,-61.0,13.0,GatewayELII,-61,9.8,GatewayFacilidades,-94,13.0,GatewayEdificio3,-95,9.5,GatewayOficina,-71,10.2
2026-04-24 16:38:32,Alcance,9.024276733398438,-79.5343246459961,65.0,0.1,11.0,3.861,21.0,38.0,32.0,4,33.2,348.2,-61.0,12.8,GatewayELII,-61,9.2,GatewayFacilidades,-98,12.8,GatewayEdificio3,-100,9.0,GatewayOficina,-66,10.2
2026-04-24 16:39:02,Alcance,9.024271965026855,-79.5343246459961,65.0,0.1,11.0,3.871,21.0,39.0,2.0,4,33.6,347.8,-52.0,12.8,GatewayELII,-69,10.5,GatewayFacilidades,-98,12.8,GatewayEdificio3,-96,8.8,GatewayOficina,-52,9.2
2026-04-24 16:39:32,Alcance,9.024272918701172,-79.5343246459961,64.0,0.1,12.0,3.871,21.0,39.0,32.0,4,33.5,348.7,-60.0,10.0,GatewayELII,-64,10.0,GatewayFacilidades,-106,7.8,GatewayEdificio3,-97,9.8,GatewayOficina,-60,9.8
2026-04-24 16:40:03,Alcance,9.02426815032959,-79.5343017578125,64.0,0.1,13.0,3.861,21.0,40.0,2.0,4,32.6,346.6,-60.0,13.3,GatewayELII,-60,10.0,GatewayFacilidades,-92,13.3,GatewayEdificio3,-109,7.2,GatewayOficina,-77,9.8
2026-04-24 16:40:33,Alcance,9.024264335632324,-79.5343017578125,64.0,0.1,13.0,3.861,21.0,40.0,32.0,4,33.0,346.3,-64.0,11.8,GatewayELII,-64,10.0,GatewayFacilidades,-88,11.8,GatewayEdificio3,-97,9.8,GatewayOficina,-65,10.0
