time,deviceName,latitude,longitude,battery_V,hour,minute,second,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr
2026-03-26 08:48:25,Alcance,9.025097846984863,-79.53484344482422,3.915,14.0,2.0,36.0,GatewayELII,-118,-4.5,GatewayFacilidades,-99,12.0,GatewayTTN,,,GatewayTTN2,-65,9.2
2026-03-26 08:48:26,Alcance,9.025097846984863,-79.53484344482422,3.92,14.0,2.0,36.0,GatewayELII,,,GatewayFacilidades,,,GatewayTTN,,,GatewayTTN2,-101,10.8
2026-03-26 08:49:20,Alcance,9.025463104248047,-79.53495025634766,3.92,14.0,3.0,30.0,GatewayELII,,,GatewayFacilidades,,,GatewayTTN,,,GatewayTTN2,-79,10.8
2026-03-26 08:51:14,Alcance,9.025676727294922,-79.53482818603516,3.92,14.0,5.0,24.0,GatewayELII,,,GatewayFacilidades,-104,10.3,GatewayTTN,,,GatewayTTN2,-77,9.2
2026-03-26 08:52:20,Alcance,9.025984764099121,-79.53475189208984,3.93,14.0,6.0,30.0,GatewayELII,,,GatewayFacilidades,-106,9.3,GatewayTTN,,,GatewayTTN2,-66,10.0
2026-03-26 08:53:15,Alcance,9.025898933410645,-79.53433227539062,3.925,14.0,7.0,25.0,GatewayELII,,,GatewayFacilidades,-105,9.5,GatewayTTN,,,GatewayTTN2,-51,9.8
2026-03-26 08:53:58,Alcance,9.02561092376709,-79.53437805175781,3.925,14.0,8.0,8.0,GatewayELII,,,GatewayFacilidades,-92,11.3,GatewayTTN,,,GatewayTTN2,-65,9.5
2026-03-26 08:54:39,Alcance,9.025374412536621,-79.53446960449219,3.925,14.0,8.0,50.0,GatewayELII,,,GatewayFacilidades,-103,10.0,GatewayTTN,,,GatewayTTN2,-53,11.2
2026-03-26 08:55:24,Alcance,9.025062561035156,-79.53436279296875,3.925,14.0,9.0,34.0,GatewayELII,,,GatewayFacilidades,-85,11.5,GatewayTTN,,,GatewayTTN2,-51,10.2
2026-03-26 08:56:20,Alcance,9.02477741241455,-79.53424072265625,3.925,14.0,10.0,31.0,GatewayELII,,,GatewayFacilidades,-87,14.0,GatewayTTN,,,GatewayTTN2,-49,10.0
2026-03-26 08:57:03,Alcance,9.024504661560059,-79.53411102294922,3.925,14.0,11.0,14.0,GatewayELII,,,GatewayFacilidades,-84,13.5,GatewayTTN,,,GatewayTTN2,-53,10.5
