windowStart,windowEnd,sampleCount,gatewayId,deviceName,accXRMS_min,accYRMS_min,accZRMS_min,temperature_min,humidity_min,bvoc_min,iaq_min,anomaly_min,classConfidence_min,accXRMS_avg,accYRMS_avg,accZRMS_avg,temperature_avg,humidity_avg,bvoc_avg,iaq_avg,anomaly_avg,classConfidence_avg,accXRMS_max,accYRMS_max,accZRMS_max,temperature_max,humidity_max,bvoc_max,iaq_max,anomaly_max,classConfidence_max,dominantLabel,labelCounts
2026-07-30 14:58:25,2026-07-30 15:08:24,488,OPTA,NICLABH1,0.0232,0.0688,0.9927,29.89,55.12,1.16,1530.0,-1.448,0.7929,0.0314,0.07556,0.99678,29.94059,55.22209,1.31967,1720.26639,-0.52333,0.97389,0.0422,0.0835,1.0015,30.0,56.21,1.45,1860.0,0.525,0.996,Motor_en_operacion,Motor_en_operacion:488
2026-07-30 15:08:26,2026-07-30 15:18:24,488,OPTA,NICLABH1,0.0237,0.0676,0.9924,29.8,54.13,0.97,1260.0,-1.283,0.7343,0.03111,0.0748,0.99672,29.86502,54.37861,1.07752,1419.79508,-0.52419,0.97034,0.0442,0.0815,1.0007,29.98,55.28,1.19,1570.0,0.63,0.996,Motor_en_operacion,Motor_en_operacion:488
2026-07-30 15:18:26,2026-07-30 15:28:25,489,OPTA,NICLABH1,0.0234,0.0669,0.9927,29.73,54.11,0.95,1230.0,-1.373,0.7539,0.03089,0.07477,0.99678,29.78975,54.21444,1.00247,1309.3456,-0.52955,0.96963,0.0408,0.0828,1.0017,29.87,55.2,1.05,1390.0,0.464,0.996,Motor_en_operacion,Motor_en_operacion:489
2026-07-30 15:28:26,2026-07-30 15:38:24,488,OPTA,NICLABH1,0.0222,0.0686,0.9927,29.58,54.12,0.88,1110.0,-1.452,0.8554,0.03095,0.07469,0.99678,29.7127,54.24699,0.96738,1254.09836,-0.53401,0.97032,0.0439,0.0803,1.0,29.81,55.25,1.04,1370.0,0.795,0.996,Motor_en_operacion,Motor_en_operacion:488
2026-07-30 15:38:27,2026-07-30 15:48:25,489,OPTA,NICLABH1,0.0232,0.0681,0.9924,29.5,53.14,0.88,1100.0,-1.457,0.8437,0.03081,0.07456,0.99675,29.57577,54.13552,0.92086,1180.818,-0.53707,0.96909,0.041,0.0808,1.0012,29.62,55.25,0.97,1270.0,0.61,0.996,Motor_en_operacion,Motor_en_operacion:489
2026-07-30 15:48:27,2026-07-30 15:58:26,489,OPTA,NICLABH1,0.0222,0.0664,0.9919,29.51,53.22,0.94,1210.0,-1.336,0.7539,0.03043,0.07375,0.99665,29.63112,54.16894,1.02658,1346.23722,-0.55234,0.96685,0.0427,0.0815,1.0002,29.73,54.26,1.11,1460.0,0.389,0.996,Motor_en_operacion,Motor_en_operacion:489
2026-07-30 15:58:28,2026-07-30 16:08:26,488,OPTA,NICLABH1,0.022,0.0681,0.9934,29.56,53.13,0.91,1160.0,-1.442,0.8281,0.03049,0.07421,0.99682,29.63518,54.2327,0.99568,1297.58197,-0.52998,0.9676,0.0422,0.0801,1.001,29.7,55.28,1.1,1450.0,0.67,0.996,Motor_en_operacion,Motor_en_operacion:488
2026-07-30 16:08:29,2026-07-30 16:18:27,489,OPTA,NICLABH1,0.0234,0.0693,0.9929,29.48,53.13,0.89,1130.0,-1.416,0.7343,0.03072,0.07474,0.99687,29.57391,53.55368,0.94528,1218.93661,-0.5214,0.97053,0.0442,0.0811,1.001,29.71,54.27,0.98,1280.0,0.739,0.996,Motor_en_operacion,Motor_en_operacion:489
2026-07-30 16:18:29,2026-07-30 16:28:28,489,OPTA,NICLABH1,0.0222,0.0684,0.9927,29.44,54.1,0.87,1090.0,-1.503,0.8281,0.03076,0.07429,0.99662,29.50663,54.21828,0.95162,1229.07975,-0.53783,0.9696,0.0417,0.0808,1.0012,29.58,55.17,1.04,1360.0,0.334,0.996,Motor_en_operacion,Motor_en_operacion:489
2026-07-30 16:28:30,2026-07-30 16:38:29,489,OPTA,NICLABH1,0.0227,0.0676,0.9932,29.42,54.13,0.89,1120.0,-1.467,0.7929,0.03042,0.07404,0.99666,29.5044,54.59233,0.96006,1244.00818,-0.53052,0.96683,0.0432,0.0803,1.0017,29.59,55.25,1.02,1330.0,0.265,0.996,Motor_en_operacion,Motor_en_operacion:489
