time,gatewayId,deviceName,gwSeq,accXRMS,accYRMS,accZRMS,temperature,humidity,bvoc,iaq,anomaly,label,classConfidence
2026-09-13 00:00:34,OPTA,NICLABH1,1177732,0.0061,0.0535,0.9976,32.5,66.24,1.04,1310.0,-0.834,Motor_apagado,0.996
2026-09-13 00:06:36,OPTA,NICLABH1,1178031,0.0066,0.0535,0.9976,32.5,66.28,1.04,1320.0,-0.154,Motor_apagado,0.996
2026-09-13 00:10:36,OPTA,NICLABH1,1178229,0.0066,0.0535,0.9976,32.5,66.3,1.04,1330.0,-0.154,Motor_apagado,0.996
2026-09-13 00:16:37,OPTA,NICLABH1,1178527,0.0063,0.0535,0.9976,32.5,66.3,1.06,1350.0,-0.625,Motor_apagado,0.996
2026-09-13 00:20:37,OPTA,NICLABH1,1178726,0.0066,0.0537,0.9976,32.5,66.3,1.06,1360.0,-0.625,Motor_apagado,0.996
2026-09-13 00:26:37,OPTA,NICLABH1,1179024,0.0066,0.0537,0.9976,32.49,66.31,1.06,1370.0,-0.166,Motor_apagado,0.996
2026-09-13 00:30:38,OPTA,NICLABH1,1179223,0.0063,0.0537,0.9976,32.49,66.31,1.07,1380.0,-0.166,Motor_apagado,0.996
2026-09-13 00:36:38,OPTA,NICLABH1,1179521,0.0066,0.0537,0.9976,32.49,66.28,1.07,1380.0,-0.633,Motor_apagado,0.996
2026-09-13 00:40:37,OPTA,NICLABH1,1179719,0.0066,0.0535,0.9976,32.47,66.28,1.04,1340.0,-0.388,Motor_apagado,0.996
2026-09-13 00:46:38,OPTA,NICLABH1,1180017,0.0066,0.0537,0.9976,32.46,66.28,1.03,1320.0,-0.388,Motor_apagado,0.996
2026-09-13 00:50:38,OPTA,NICLABH1,1180216,0.0066,0.0537,0.9976,32.45,66.28,1.03,1320.0,-0.095,Motor_apagado,0.996
2026-09-13 00:56:38,OPTA,NICLABH1,1180513,0.0063,0.0537,0.9973,32.45,66.3,1.03,1330.0,0.286,Motor_apagado,0.996
2026-09-13 01:00:38,OPTA,NICLABH1,1180712,0.0063,0.0537,0.9976,32.46,66.3,1.04,1370.0,0.286,Motor_apagado,0.996
2026-09-13 01:06:39,OPTA,NICLABH1,1181010,0.0068,0.0535,0.9976,32.46,66.29,1.04,1370.0,-0.609,Motor_apagado,0.996
2026-09-13 01:10:39,OPTA,NICLABH1,1181209,0.0068,0.0535,0.9976,32.44,66.28,1.02,1320.0,-0.523,Motor_apagado,0.996
2026-09-13 01:16:38,OPTA,NICLABH1,1181507,0.0066,0.0535,0.9976,32.43,66.28,1.03,1340.0,-0.272,Motor_apagado,0.996
2026-09-13 01:20:40,OPTA,NICLABH1,1181707,0.0066,0.0535,0.9976,32.43,66.28,1.03,1350.0,-0.272,Motor_apagado,0.996
2026-09-13 01:26:39,OPTA,NICLABH1,1182004,0.0066,0.0535,0.9976,32.42,66.32,1.04,1360.0,-0.518,Motor_apagado,0.996
2026-09-13 01:30:40,OPTA,NICLABH1,1182203,0.0066,0.0535,0.9973,32.42,66.32,1.04,1360.0,-0.518,Motor_apagado,0.996
2026-09-13 01:36:39,OPTA,NICLABH1,1182500,0.0066,0.0535,0.9976,32.42,66.3,1.03,1350.0,-0.733,Motor_apagado,0.996
2026-09-13 01:40:42,OPTA,NICLABH1,1182700,0.0066,0.0535,0.9976,32.41,66.28,1.02,1340.0,-0.394,Motor_apagado,0.996
2026-09-13 01:46:40,OPTA,NICLABH1,1182996,0.0066,0.0535,0.9976,32.38,66.29,1.03,1350.0,-0.123,Motor_apagado,0.996
2026-09-13 01:50:42,OPTA,NICLABH1,1183196,0.0066,0.0537,0.9976,32.38,66.29,1.03,1350.0,-0.123,Motor_apagado,0.996
2026-09-13 01:56:41,OPTA,NICLABH1,1183492,0.0066,0.0537,0.9976,32.38,66.29,1.02,1340.0,-0.398,Motor_apagado,0.996
2026-09-13 02:00:43,OPTA,NICLABH1,1183692,0.0068,0.0537,0.9976,32.38,66.29,1.04,1360.0,-0.446,Motor_apagado,0.996
2026-09-13 02:06:41,OPTA,NICLABH1,1183988,0.0068,0.0537,0.9973,32.38,66.28,1.04,1360.0,-0.446,Motor_apagado,0.996
2026-09-13 02:10:45,OPTA,NICLABH1,1184190,0.0068,0.0537,0.9976,32.37,66.29,1.02,1330.0,-0.518,Motor_apagado,0.996
2026-09-13 02:16:41,OPTA,NICLABH1,1184485,0.0068,0.0537,0.9976,32.36,66.29,1.0,1310.0,-0.722,Motor_apagado,0.996
2026-09-13 02:20:44,OPTA,NICLABH1,1184686,0.0068,0.0535,0.9973,32.35,66.27,0.98,1290.0,-0.582,Motor_apagado,0.996
2026-09-13 02:26:42,OPTA,NICLABH1,1184982,0.0066,0.0535,0.9976,32.33,66.3,0.97,1270.0,-0.162,Motor_apagado,0.996
2026-09-13 02:30:45,OPTA,NICLABH1,1185183,0.0066,0.0535,0.9976,32.32,66.3,0.97,1260.0,-0.162,Motor_apagado,0.996
2026-09-13 02:36:42,OPTA,NICLABH1,1185478,0.0066,0.0535,0.9973,32.33,66.28,0.97,1270.0,-0.503,Motor_apagado,0.996
2026-09-13 02:40:45,OPTA,NICLABH1,1185679,0.0066,0.0535,0.9976,32.33,66.3,0.97,1270.0,-0.327,Motor_apagado,0.996
2026-09-13 02:46:42,OPTA,NICLABH1,1185974,0.0066,0.0535,0.9976,32.31,66.3,0.96,1250.0,-0.327,Motor_apagado,0.996
2026-09-13 02:50:46,OPTA,NICLABH1,1186176,0.0066,0.0535,0.9973,32.31,66.28,0.95,1230.0,-0.356,Motor_apagado,0.996
2026-09-13 02:56:43,OPTA,NICLABH1,1186471,0.0066,0.0535,0.9973,32.31,66.29,0.96,1240.0,-0.356,Motor_apagado,0.996
2026-09-13 03:00:45,OPTA,NICLABH1,1186671,0.0066,0.0535,0.9973,32.31,66.29,0.96,1240.0,-0.518,Motor_apagado,0.996
2026-09-13 03:06:42,OPTA,NICLABH1,1186966,0.0066,0.0535,0.9973,32.31,66.28,0.95,1230.0,-0.518,Motor_apagado,0.996
2026-09-13 03:10:47,OPTA,NICLABH1,1187168,0.0063,0.0535,0.9973,32.31,66.3,0.95,1230.0,-0.49,Motor_apagado,0.996
2026-09-13 03:16:43,OPTA,NICLABH1,1187463,0.0063,0.0535,0.9976,32.31,66.3,0.95,1230.0,-0.49,Motor_apagado,0.996
2026-09-13 03:20:46,OPTA,NICLABH1,1187665,0.0063,0.0535,0.9976,32.31,66.28,0.94,1210.0,-0.646,Motor_apagado,0.996
2026-09-13 03:26:44,OPTA,NICLABH1,1187961,0.0066,0.0532,0.9976,32.31,66.27,0.94,1210.0,-0.358,Motor_apagado,0.996
2026-09-13 03:30:48,OPTA,NICLABH1,1188163,0.0066,0.0535,0.9976,32.31,66.28,0.91,1180.0,-0.358,Motor_apagado,0.996
2026-09-13 03:36:44,OPTA,NICLABH1,1188458,0.0063,0.0537,0.9976,32.28,66.31,0.91,1160.0,-0.33,Motor_apagado,0.996
2026-09-13 03:40:48,OPTA,NICLABH1,1188659,0.0063,0.0537,0.9973,32.28,66.31,0.91,1160.0,-0.074,Motor_apagado,0.996
2026-09-13 03:46:44,OPTA,NICLABH1,1188954,0.0066,0.0532,0.9973,32.25,66.29,0.91,1160.0,-0.074,Motor_apagado,0.996
2026-09-13 03:50:48,OPTA,NICLABH1,1189155,0.0066,0.0535,0.9973,32.25,66.29,0.91,1160.0,-0.479,Motor_apagado,0.996
2026-09-13 03:56:45,OPTA,NICLABH1,1189450,0.0063,0.0535,0.9973,32.24,66.31,0.91,1150.0,-0.224,Motor_apagado,0.996
