time,deviceName,meterSerialNumber_tag,totalFordwardFlow,instantFlow,Vbat,time_meter_unix,time_meter_str,rssi,snr
2026-05-08 00:01:09,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778198460000.0,2026-05-08 00:01:00,-107,6.2
2026-05-08 00:09:07,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778198940000.0,2026-05-08 00:09:00,-114,-8.0
2026-05-08 00:16:35,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778199360000.0,2026-05-08 00:16:00,-113,2.2
2026-05-08 00:31:13,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778200260000.0,2026-05-08 00:31:00,-100,11.5
2026-05-08 00:39:20,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778200740000.0,2026-05-08 00:39:00,-106,7.2
2026-05-08 00:46:15,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778201160000.0,2026-05-08 00:46:00,-93,9.5
2026-05-08 01:01:14,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778202060000.0,2026-05-08 01:01:00,-106,7.0
2026-05-08 01:24:16,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778203440000.0,2026-05-08 01:24:00,-103,9.8
2026-05-08 01:31:29,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778203860000.0,2026-05-08 01:31:00,-105,7.2
2026-05-08 01:37:06,mt-08-b-33430254,33430254,0.058,0.0,3.68,2014133940000.0,2033-10-28 17:39:00,-109,6.0
2026-05-08 01:39:10,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778204340000.0,2026-05-08 01:39:00,-109,6.5
2026-05-08 01:46:13,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778204760000.0,2026-05-08 01:46:00,-92,9.5
2026-05-08 02:01:10,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778205660000.0,2026-05-08 02:01:00,-103,10.5
2026-05-08 02:16:09,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778206560000.0,2026-05-08 02:16:00,-106,7.5
2026-05-08 02:24:15,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778207040000.0,2026-05-08 02:24:00,-100,10.0
2026-05-08 02:31:09,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778207460000.0,2026-05-08 02:31:00,-106,2.2
2026-05-08 02:39:09,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778207940000.0,2026-05-08 02:39:00,-96,9.8
2026-05-08 02:54:10,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778208840000.0,2026-05-08 02:54:00,-102,8.0
2026-05-08 03:01:16,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778209260000.0,2026-05-08 03:01:00,-92,9.0
2026-05-08 03:16:10,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778210160000.0,2026-05-08 03:16:00,-103,9.8
2026-05-08 03:31:10,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778211060000.0,2026-05-08 03:31:00,-109,5.8
2026-05-08 03:39:16,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778211540000.0,2026-05-08 03:39:00,-93,10.2
2026-05-08 03:46:15,mt-b-08-33430401,33430401,0.209,0.0,3.62,1778211960000.0,2026-05-08 03:46:00,-106,6.5
2026-05-08 03:54:09,mt-08-b-33430224,33430224,0.03,0.0,3.36,1778212440000.0,2026-05-08 03:54:00,-107,7.5
