time,applicationName,deviceName,devEui,message_type,fPort,fCnt,gps_valid,gps_quality_acceptable,latitude,longitude,altitude_m,hdop,satellites,frequency_hz,spreading_factor,bandwidth_hz,code_rate,gateway_count,strongest_gateway_name,strongest_gateway_id,min_rssi,max_rssi,min_snr,max_snr,min_distance_m,max_distance_m,downlink_published,downlink_payload_hex,downlink_sequence,downlink_min_distance_step,downlink_max_distance_step,gateways_received
2026-09-04 10:08:27,Tests,SignalTester,ac1f09fffe10547c,field_test,1,1,True,True,9.0247553,-79.5345737,73.0,1.9,7.0,904700000,10,125000,CR_4_5,3,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-95.0,-5.5,11.5,45.6,409.3,True,015169010203,1,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-95.0,""snr"":11.5,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":45.6},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-112.0,""snr"":3.8,""latitude"":9.02349,""longitude"":-79.53223,""distance_m"":293.3},{""gatewayName"":""5813d3fffe69a1e6"",""gatewayId"":""5813d3fffe69a1e6"",""rssi"":-119.0,""snr"":-5.5,""latitude"":9.02195,""longitude"":-79.53216,""distance_m"":409.3}]"
2026-09-04 10:09:57,Tests,SignalTester,ac1f09fffe10547c,field_test,1,2,True,True,9.0246581,-79.5350467,31.0,1.9,7.0,904300000,10,125000,CR_4_5,3,GatewayELIIDobleBanda815,5813d3fffe69a166,-115.0,-85.0,-12.2,8.0,91.7,437.2,True,025573010203,2,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-85.0,""snr"":8.0,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":91.7},{""gatewayName"":""5813d3fffe69a1e6"",""gatewayId"":""5813d3fffe69a1e6"",""rssi"":-113.0,""snr"":-12.2,""latitude"":9.02195,""longitude"":-79.53216,""distance_m"":437.2},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-115.0,""snr"":1.2,""latitude"":9.02349,""longitude"":-79.53223,""distance_m"":335.5}]"
2026-09-04 10:10:12,Tests,SignalTester,ac1f09fffe10547c,field_test,1,3,True,True,9.0246365,-79.5349822,35.0,1.9,7.0,904100000,10,125000,CR_4_5,3,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-94.0,-6.0,11.8,84.4,430.5,True,03516a010203,3,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-94.0,""snr"":11.8,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":84.4},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-115.0,""snr"":4.5,""latitude"":9.02349,""longitude"":-79.53223,""distance_m"":328.0},{""gatewayName"":""5813d3fffe69a1e6"",""gatewayId"":""5813d3fffe69a1e6"",""rssi"":-119.0,""snr"":-6.0,""latitude"":9.02195,""longitude"":-79.53216,""distance_m"":430.5}]"
2026-09-04 10:10:27,Tests,SignalTester,ac1f09fffe10547c,field_test,1,4,True,True,9.0246689,-79.5349177,35.0,1.9,7.0,905300000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-118.0,-88.0,-4.5,9.5,77.9,323.0,True,045270010202,4,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-88.0,""snr"":9.5,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":77.9},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-118.0,""snr"":-4.5,""latitude"":9.02349,""longitude"":-79.53223,""distance_m"":323.0}]"
2026-09-04 10:10:42,Tests,SignalTester,ac1f09fffe10547c,field_test,1,5,True,True,9.0246257,-79.5348962,36.0,1.9,7.0,905100000,7,125000,CR_4_5,3,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-95.0,-1.8,10.0,74.9,422.9,True,055169010203,5,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-95.0,""snr"":10.0,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":74.9},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-115.0,""snr"":1.0,""latitude"":9.02349,""longitude"":-79.53223,""distance_m"":318.9},{""gatewayName"":""5813d3fffe69a1e6"",""gatewayId"":""5813d3fffe69a1e6"",""rssi"":-119.0,""snr"":-1.8,""latitude"":9.02195,""longitude"":-79.53216,""distance_m"":422.9}]"
2026-09-04 10:10:56,Tests,SignalTester,ac1f09fffe10547c,field_test,1,6,True,True,9.0246149,-79.5348532,33.0,1.9,7.0,903900000,7,125000,CR_4_5,3,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-96.0,-5.0,9.2,70.0,418.7,True,065168010203,6,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-96.0,""snr"":9.2,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":70.0},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-113.0,""snr"":4.5,""latitude"":9.02349,""longitude"":-79.53223,""distance_m"":314.1},{""gatewayName"":""5813d3fffe69a1e6"",""gatewayId"":""5813d3fffe69a1e6"",""rssi"":-119.0,""snr"":-5.0,""latitude"":9.02195,""longitude"":-79.53216,""distance_m"":418.7}]"
2026-09-04 10:11:16,Tests,SignalTester,ac1f09fffe10547c,field_test,1,7,True,True,9.0246473,-79.5348102,32.0,1.9,7.0,904700000,7,125000,CR_4_5,3,GatewayELIIDobleBanda815,5813d3fffe69a166,-117.0,-91.0,-4.5,10.0,65.9,417.9,True,07536d010203,7,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-91.0,""snr"":10.0,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":65.9},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-114.0,""snr"":3.8,""latitude"":9.02349,""longitude"":-79.53223,""distance_m"":311.2},{""gatewayName"":""5813d3fffe69a1e6"",""gatewayId"":""5813d3fffe69a1e6"",""rssi"":-117.0,""snr"":-4.5,""latitude"":9.02195,""longitude"":-79.53216,""distance_m"":417.9}]"
2026-09-04 10:11:26,Tests,SignalTester,ac1f09fffe10547c,field_test,1,8,True,True,9.0246689,-79.5347672,34.0,1.9,7.0,904900000,7,125000,CR_4_5,3,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-91.0,-3.2,9.2,61.8,416.4,True,08516d010203,8,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-91.0,""snr"":9.2,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":61.8},{""gatewayName"":""5813d3fffe69a1e6"",""gatewayId"":""5813d3fffe69a1e6"",""rssi"":-117.0,""snr"":-3.2,""latitude"":9.02195,""longitude"":-79.53216,""distance_m"":416.4},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-119.0,""snr"":-1.0,""latitude"":9.02349,""longitude"":-79.53223,""distance_m"":307.9}]"
2026-09-04 10:11:42,Tests,SignalTester,ac1f09fffe10547c,field_test,1,10,True,True,9.0247661,-79.5346382,40.0,1.2,8.0,904500000,7,125000,CR_4_5,1,GatewayELIIDobleBanda815,5813d3fffe69a166,-102.0,-102.0,9.0,9.0,52.4,52.4,True,0a6262010101,10,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-102.0,""snr"":9.0,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":52.4}]"
2026-09-04 10:11:56,Tests,SignalTester,ac1f09fffe10547c,field_test,1,11,True,True,9.0248093,-79.5345307,46.0,1.2,8.0,905300000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-120.0,-100.0,-5.2,9.0,45.4,292.7,True,0b5064010202,11,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-100.0,""snr"":9.0,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":45.4},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-120.0,""snr"":-5.2,""latitude"":9.02348,""longitude"":-79.53223,""distance_m"":292.7}]"
