time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-01-27 00:00:56,Panel,24.43,67.72,1006.0,1612.0,0,-44,14.3
2026-01-27 00:01:56,Panel,24.43,67.68,1006.0,1618.0,0,-45,14.0
2026-01-27 00:02:56,Panel,24.42,67.64,1006.0,1618.0,0,-45,14.0
2026-01-27 00:03:56,Panel,24.41,67.72,1006.0,1616.0,0,-45,14.0
2026-01-27 00:04:57,Panel,24.41,67.63,1006.0,1618.0,0,-45,14.3
2026-01-27 00:05:57,Panel,24.4,67.63,1006.0,1610.0,0,-44,14.5
2026-01-27 00:06:57,Panel,24.4,67.61,1006.0,1616.0,0,-44,14.3
2026-01-27 00:07:57,Panel,24.39,67.51,1006.0,1612.0,0,-45,14.0
2026-01-27 00:08:57,Panel,24.38,67.41,1006.0,1618.0,0,-45,14.3
2026-01-27 00:09:58,Panel,24.38,67.5,1006.0,1612.0,0,-45,13.8
2026-01-27 00:10:58,Panel,24.37,67.45,1006.0,1612.0,0,-45,11.5
2026-01-27 00:11:59,Panel,24.37,67.44,1006.0,1618.0,0,-45,13.8
2026-01-27 00:12:58,Panel,24.35,67.49,1006.0,1618.0,0,-45,14.3
2026-01-27 00:13:58,Panel,24.35,67.5,1006.0,1612.0,0,-45,14.3
2026-01-27 00:14:58,Panel,24.34,67.62,1006.0,1618.0,0,-45,14.0
2026-01-27 00:15:59,Panel,24.34,67.69,1006.0,1612.0,0,-45,13.8
2026-01-27 00:16:59,Panel,24.32,67.68,1006.0,1612.0,0,-44,14.5
2026-01-27 00:17:59,Panel,24.32,67.66,1006.0,1612.0,0,-44,14.3
2026-01-27 00:18:59,Panel,24.31,67.58,1006.0,1612.0,0,-44,13.8
2026-01-27 00:19:59,Panel,24.3,67.58,1006.0,1612.0,0,-45,11.5
2026-01-27 00:21:00,Panel,24.29,67.58,1006.0,1616.0,0,-45,14.0
2026-01-27 00:22:00,Panel,24.29,67.59,1006.0,1612.0,0,-45,14.5
2026-01-27 00:23:00,Panel,24.28,67.66,1006.0,1612.0,0,-45,14.5
2026-01-27 00:24:00,Panel,24.27,67.65,1006.0,1612.0,0,-45,13.8
2026-01-27 00:25:00,Panel,24.26,67.68,1006.0,1612.0,0,-45,10.8
2026-01-27 00:26:00,Panel,24.26,67.78,1006.0,1616.0,0,-45,14.0
2026-01-27 00:27:01,Panel,24.25,67.78,1006.0,1612.0,0,-45,14.0
2026-01-27 00:28:01,Panel,24.24,67.75,1006.0,1612.0,0,-44,14.3
2026-01-27 00:29:01,Panel,24.23,67.79,1006.0,1612.0,0,-45,13.8
2026-01-27 00:30:01,Panel,24.23,67.85,1006.0,1612.0,0,-44,14.3
2026-01-27 00:31:01,Panel,24.21,67.84,1006.0,1612.0,0,-45,14.3
2026-01-27 00:32:02,Panel,24.21,68.0,1006.0,1616.0,0,-45,14.3
2026-01-27 00:33:02,Panel,24.2,68.0,1006.0,1612.0,0,-44,14.0
2026-01-27 00:34:02,Panel,24.19,68.06,1006.0,1612.0,0,-45,13.8
2026-01-27 00:35:02,Panel,24.18,68.27,1006.0,1612.0,0,-44,13.8
2026-01-27 00:36:02,Panel,24.18,68.23,1006.0,1612.0,0,-45,11.8
2026-01-27 00:37:02,Panel,24.17,68.24,1006.0,1612.0,0,-45,14.0
2026-01-27 00:38:02,Panel,24.16,68.25,1006.0,1612.0,0,-44,14.0
2026-01-27 00:39:03,Panel,24.15,68.24,1006.0,1612.0,0,-45,13.8
2026-01-27 00:40:03,Panel,24.15,68.27,1006.0,1612.0,0,-45,11.3
2026-01-27 00:41:03,Panel,24.14,68.18,1006.0,1612.0,0,-45,14.3
2026-01-27 00:42:03,Panel,24.14,68.19,1006.0,1612.0,0,-44,14.3
2026-01-27 00:43:03,Panel,24.14,68.21,1006.0,1618.0,0,-45,14.0
2026-01-27 00:44:04,Panel,24.13,68.22,1006.0,1612.0,0,-45,14.0
2026-01-27 00:45:04,Panel,24.13,68.17,1006.0,1612.0,0,-45,13.8
2026-01-27 00:46:04,Panel,24.13,68.26,1006.0,1612.0,0,-45,14.3
2026-01-27 00:47:04,Panel,24.13,68.27,1006.0,1612.0,0,-45,13.8
2026-01-27 00:48:04,Panel,24.12,68.25,1006.0,1612.0,0,-44,14.3
2026-01-27 00:49:04,Panel,24.13,68.24,1006.0,1610.0,0,-45,11.0
2026-01-27 00:50:04,Panel,24.11,68.26,1006.0,1612.0,0,-45,13.8
2026-01-27 00:51:05,Panel,24.1,68.31,1006.0,1612.0,0,-44,14.3
2026-01-27 00:52:05,Panel,24.1,68.3,1006.0,1612.0,0,-45,14.0
2026-01-27 00:53:05,Panel,24.09,68.23,1006.0,1612.0,0,-45,14.0
2026-01-27 00:54:05,Panel,24.08,68.25,1006.0,1612.0,0,-45,13.8
2026-01-27 00:55:05,Panel,24.08,68.24,1006.0,1612.0,0,-45,13.8
2026-01-27 00:56:06,Panel,24.07,68.13,1006.0,1610.0,0,-45,14.0
2026-01-27 00:57:06,Panel,24.08,68.3,1006.0,1610.0,0,-45,11.5
2026-01-27 00:58:06,Panel,24.07,68.2,1006.0,1610.0,0,-34,14.3
2026-01-27 00:59:06,Panel,24.06,68.19,1006.0,1612.0,0,-44,14.3
2026-01-27 01:00:06,Panel,24.06,68.34,1006.0,1612.0,0,-44,14.0
2026-01-27 01:01:06,Panel,24.05,68.38,1006.0,1612.0,0,-45,14.0
2026-01-27 01:02:07,Panel,24.05,68.52,1006.0,1606.0,0,-45,14.0
2026-01-27 01:03:07,Panel,24.04,68.54,1006.0,1612.0,0,-44,13.8
2026-01-27 01:04:07,Panel,24.04,68.62,1006.0,1606.0,0,-44,14.3
2026-01-27 01:05:07,Panel,24.03,68.55,1006.0,1612.0,0,-45,10.8
2026-01-27 01:06:07,Panel,24.03,68.53,1006.0,1612.0,0,-45,14.5
2026-01-27 01:07:08,Panel,24.02,68.41,1006.0,1616.0,0,-45,13.8
2026-01-27 01:08:08,Panel,24.02,68.56,1006.0,1612.0,0,-45,13.8
2026-01-27 01:09:08,Panel,24.01,68.57,1006.0,1612.0,0,-45,13.3
2026-01-27 01:10:08,Panel,24.01,68.63,1006.0,1610.0,0,-45,14.0
2026-01-27 01:11:08,Panel,24.0,68.64,1006.0,1610.0,0,-45,14.0
2026-01-27 01:12:08,Panel,24.0,68.64,1006.0,1610.0,0,-45,13.8
2026-01-27 01:13:09,Panel,24.0,68.7,1006.0,1610.0,0,-45,11.8
2026-01-27 01:14:09,Panel,24.0,68.72,1006.0,1606.0,0,-44,14.3
2026-01-27 01:15:09,Panel,23.99,68.77,1006.0,1606.0,0,-45,14.0
2026-01-27 01:16:09,Panel,23.99,68.8,1006.0,1606.0,0,-45,14.3
2026-01-27 01:17:09,Panel,23.99,68.71,1006.0,1610.0,0,-45,13.5
2026-01-27 01:18:09,Panel,23.99,68.74,1006.0,1606.0,0,-44,13.8
2026-01-27 01:19:10,Panel,23.99,68.89,1006.0,1612.0,0,-44,14.0
2026-01-27 01:20:10,Panel,23.98,68.73,1006.0,1606.0,0,-45,11.3
2026-01-27 01:21:10,Panel,23.98,68.81,1005.0,1610.0,0,-45,13.5
2026-01-27 01:22:10,Panel,23.98,68.89,1005.0,1606.0,0,-45,14.0
2026-01-27 01:23:10,Panel,23.98,68.95,1005.0,1610.0,0,-44,14.0
2026-01-27 01:24:10,Panel,23.97,68.98,1005.0,1612.0,0,-45,14.5
2026-01-27 01:25:10,Panel,23.97,69.02,1005.0,1612.0,0,-45,14.0
2026-01-27 01:26:10,Panel,23.96,69.01,1005.0,1610.0,0,-44,14.3
2026-01-27 01:27:11,Panel,23.96,68.97,1005.0,1606.0,0,-45,14.0
2026-01-27 01:28:11,Panel,23.96,69.04,1005.0,1612.0,0,-45,14.0
2026-01-27 01:29:11,Panel,23.95,68.88,1005.0,1612.0,0,-45,14.3
2026-01-27 01:30:11,Panel,23.95,68.89,1005.0,1610.0,0,-44,14.3
2026-01-27 01:31:11,Panel,23.94,68.93,1005.0,1606.0,0,-45,11.0
2026-01-27 01:32:12,Panel,23.94,68.93,1005.0,1606.0,0,-45,13.8
2026-01-27 01:33:12,Panel,23.93,69.0,1005.0,1610.0,0,-45,14.3
2026-01-27 01:34:12,Panel,23.93,69.08,1005.0,1610.0,0,-44,14.3
2026-01-27 01:35:12,Panel,23.92,69.08,1005.0,1606.0,0,-45,14.3
2026-01-27 01:36:12,Panel,23.92,69.1,1005.0,1610.0,0,-44,14.0
2026-01-27 01:37:13,Panel,23.91,69.09,1005.0,1610.0,0,-45,11.3
2026-01-27 01:38:13,Panel,23.9,69.17,1005.0,1610.0,0,-45,14.3
2026-01-27 01:39:13,Panel,23.89,69.15,1005.0,1606.0,0,-45,14.3
